Symbol,Name
ADS.DE,adidas AG
AIR.DE,Airbus SE
ALV.DE,Allianz SE
BAS.DE,BASF SE
BAYN.DE,Bayer AG
BEI.DE,Beiersdorf AG
BMW.DE,Bayerische Motoren Werke AG
BNR.DE,Brenntag SE
CBK.DE,Commerzbank AG
CON.DE,Continental AG
DB1.DE,Deutsche Boerse AG
DBK.DE,Deutsche Bank AG
DHL.DE,Deutsche Post AG
DTE.DE,Deutsche Telekom AG
DTG.DE,Daimler Truck Holding AG
ENR.DE,Siemens Energy AG
EOAN.DE,E.ON SE
FME.DE,Fresenius Medical Care AG
FRE.DE,Fresenius SE & Co KGaA
G1A.DE,GEA Group AG
G24.DE,Scout24 SE
HEI.DE,Heidelberg Materials AG
HEN3.DE,Henkel AG & Co KGaA
HNR1.DE,Hannover Rueck SE
IFX.DE,Infineon Technologies AG
MBG.DE,Mercedes-Benz Group AG
MRK.DE,Merck KGaA
MTX.DE,MTU Aero Engines AG
MUV2.DE,Muenchener Rueckversicherungs-Gesellschaft AG in Muenchen
PAH3.DE,Porsche Automobil Holding SE
QIA.DE,QIAGEN NV
RHM.DE,Rheinmetall AG
RWE.DE,RWE AG
SAP.DE,SAP SE
SHL.DE,Siemens Healthineers AG
SIE.DE,Siemens AG
SY1.DE,Symrise AG
VNA.DE,Vonovia SE
VOW3.DE,Volkswagen AG
ZAL.DE,Zalando SE
