Symbol,Name
0101.HK,Hang Lung Properties Ltd
1024.HK,Kuaishou Technology
1038.HK,CK Infrastructure Holdings Ltd
1044.HK,Hengan International Group Co Ltd
1088.HK,China Shenhua Energy Co Ltd
1093.HK,CSPC Pharmaceutical Group Ltd
1099.HK,Sinopharm Group Co Ltd
1109.HK,China Resources Land Ltd
1113.HK,CK Asset Holdings Ltd
1177.HK,Sino Biopharmaceutical Ltd
0011.HK,Hang Seng Bank Ltd
1209.HK,China Resources Mixc Lifestyle Services Ltd
1211.HK,BYD Co Ltd
1299.HK,AIA Group Ltd
0012.HK,Henderson Land Development Co Ltd
1378.HK,China Hongqiao Group Ltd
1398.HK,Industrial & Commercial Bank of China Ltd
0016.HK,Sun Hung Kai Properties Ltd
0175.HK,Geely Automobile Holdings Ltd
1810.HK,Xiaomi Corp
1876.HK,Budweiser Brewing Co APAC Ltd
1928.HK,Sands China Ltd
1929.HK,Chow Tai Fook Jewellery Group Ltd
1997.HK,Wharf Real Estate Investment Co Ltd
0001.HK,CK Hutchison Holdings Ltd
2015.HK,Li Auto Inc
2020.HK,ANTA Sports Products Ltd
2057.HK,ZTO Express Cayman Inc
2269.HK,Wuxi Biologics Cayman Inc
2313.HK,Shenzhou International Group Holdings Ltd
2318.HK,Ping An Insurance Group Co of China Ltd
2319.HK,China Mengniu Dairy Co Ltd
2331.HK,Li Ning Co Ltd
2359.HK,WuXi AppTec Co Ltd
2382.HK,Sunny Optical Technology Group Co Ltd
2388.HK,BOC Hong Kong Holdings Ltd
0241.HK,Alibaba Health Information Technology Ltd
2618.HK,JD Logistics Inc
2628.HK,China Life Insurance Co Ltd
0267.HK,CITIC Ltd
2688.HK,ENN Energy Holdings Ltd
0027.HK,Galaxy Entertainment Group Ltd
0285.HK,BYD Electronic International Co Ltd
0288.HK,WH Group Ltd
2899.HK,Zijin Mining Group Co Ltd
0291.HK,China Resources Beer Holdings Co Ltd
0002.HK,CLP Holdings Ltd
0300.HK,Midea Group Co Ltd
0316.HK,Orient Overseas International Ltd
0322.HK,Tingyi Cayman Islands Holding Corp
3690.HK,Meituan
3692.HK,Hansoh Pharmaceutical Group Co Ltd
0386.HK,China Petroleum & Chemical Corp
0388.HK,Hong Kong Exchanges & Clearing Ltd
3968.HK,China Merchants Bank Co Ltd
3988.HK,Bank of China Ltd
0003.HK,Hong Kong & China Gas Co Ltd
0005.HK,HSBC Holdings PLC
6618.HK,JD Health International Inc
6690.HK,Haier Smart Home Co Ltd
0669.HK,Techtronic Industries Co Ltd
0066.HK,MTR Corp Ltd
6862.HK,Haidilao International Holding Ltd
0688.HK,China Overseas Land & Investment Ltd
0006.HK,Power Assets Holdings Ltd
0700.HK,Tencent Holdings Ltd
0728.HK,China Telecom Corp Ltd
0762.HK,China Unicom Hong Kong Ltd
0823.HK,Link REIT
0836.HK,China Resources Power Holdings Co Ltd
0857.HK,PetroChina Co Ltd
0868.HK,Xinyi Glass Holdings Ltd
0881.HK,Zhongsheng Group Holdings Ltd
0883.HK,CNOOC Ltd
0939.HK,China Construction Bank Corp
0941.HK,China Mobile Ltd
0960.HK,Longfor Group Holdings Ltd
9618.HK,JD.com Inc
9633.HK,Nongfu Spring Co Ltd
0968.HK,Xinyi Solar Holdings Ltd
0981.HK,Semiconductor Manufacturing International Corp
9888.HK,Baidu Inc
9901.HK,New Oriental Education & Technology Group Inc
0992.HK,Lenovo Group Ltd
9961.HK,Trip.com Group Ltd
9988.HK,Alibaba Group Holding Ltd
9992.HK,Pop Mart International Group Ltd
9999.HK,NetEase Inc
