Symbol,Name
600000.SS,浦发银行
600004.SS,白云机场
600006.SS,东风股份
600007.SS,中国国贸
600008.SS,首创环保
600009.SS,上海机场
600010.SS,包钢股份
600011.SS,华能国际
600012.SS,皖通高速
600015.SS,华夏银行
600016.SS,民生银行
600017.SS,日照港
600018.SS,上港集团
600019.SS,宝钢股份
600020.SS,中原高速
600021.SS,上海电力
600022.SS,山东钢铁
600023.SS,浙能电力
600025.SS,华能水电
600026.SS,中远海能
600027.SS,华电国际
600028.SS,中国石化
600029.SS,南方航空
600030.SS,中信证券
600031.SS,三一重工
600032.SS,浙江新能
600033.SS,福建高速
600035.SS,楚天高速
600036.SS,招商银行
600037.SS,歌华有线
600038.SS,中直股份
600039.SS,四川路桥
600048.SS,保利发展
600050.SS,中国联通
600051.SS,宁波联合
600052.SS,东望时代
600053.SS,九鼎投资
600054.SS,黄山旅游
600055.SS,万东医疗
600056.SS,中国医药
600057.SS,厦门象屿
600058.SS,五矿发展
600059.SS,古越龙山
600060.SS,海信视像
600061.SS,国投资本
600062.SS,华润双鹤
600063.SS,皖维高新
600064.SS,南京高科
600066.SS,宇通客车
600067.SS,冠城新材
600071.SS,凤凰光学
600072.SS,中船科技
600073.SS,光明肉业
600075.SS,新疆天业
600076.SS,康欣新材
600078.SS,澄星股份
600079.SS,人福医药
600080.SS,金花股份
600081.SS,东风科技
600082.SS,海泰发展
600084.SS,中信尼雅
600085.SS,同仁堂
600088.SS,中视传媒
600089.SS,特变电工
600094.SS,大名城
600095.SS,湘财股份
600096.SS,云天化
600097.SS,开创国际
600098.SS,广州发展
600099.SS,林海股份
600100.SS,同方股份
600101.SS,明星电力
600103.SS,青山纸业
600104.SS,上汽集团
600105.SS,永鼎股份
600106.SS,重庆路桥
600108.SS,亚盛集团
600109.SS,国金证券
600110.SS,诺德股份
600111.SS,北方稀土
600113.SS,浙江东日
600114.SS,东睦股份
600115.SS,中国东航
600116.SS,三峡水利
600117.SS,西宁特钢
600118.SS,中国卫星
600119.SS,长江投资
600120.SS,浙江东方
600121.SS,郑州煤电
600123.SS,兰花科创
600125.SS,铁龙物流
600126.SS,杭钢股份
600127.SS,金健米业
600128.SS,苏豪弘业
600129.SS,太极集团
600131.SS,国网信通
600132.SS,重庆啤酒
600133.SS,东湖高新
600135.SS,乐凯胶片
600137.SS,浪莎股份
600138.SS,中青旅
600141.SS,兴发集团
600143.SS,金发科技
600148.SS,长春一东
600149.SS,廊坊发展
600150.SS,中国船舶
600151.SS,航天机电
600152.SS,维科技术
600153.SS,建发股份
600155.SS,华创云信
600156.SS,华升股份
600157.SS,永泰能源
600158.SS,中体产业
600159.SS,大龙地产
600160.SS,巨化股份
600161.SS,天坛生物
600162.SS,香江控股
600163.SS,中闽能源
600166.SS,福田汽车
600167.SS,联美控股
600168.SS,武汉控股
600169.SS,ST太重
600170.SS,上海建工
600171.SS,上海贝岭
600172.SS,黄河旋风
600173.SS,卧龙新能
600176.SS,中国巨石
600177.SS,雅戈尔
600178.SS,东安动力
600179.SS,安通控股
600180.SS,瑞茂通
600182.SS,S佳通
600183.SS,生益科技
600184.SS,光电股份
600185.SS,珠免集团
600186.SS,莲花控股
600187.SS,国中水务
600188.SS,兖矿能源
600189.SS,泉阳泉
600191.SS,华资实业
600192.SS,长城电工
600195.SS,中牧股份
600196.SS,复星医药
600197.SS,伊力特
600198.SS,大唐电信
600199.SS,金种子酒
600201.SS,生物股份
600202.SS,哈空调
600203.SS,福日电子
600206.SS,有研新材
600207.SS,安彩高科
600208.SS,衢州发展
600210.SS,紫江企业
600211.SS,西藏药业
600212.SS,绿能慧充
600215.SS,派斯林
600216.SS,浙江医药
600217.SS,中再资环
600218.SS,全柴动力
600219.SS,南山铝业
600221.SS,海航控股
600222.SS,太龙药业
600223.SS,福瑞达
600226.SS,亨通股份
600227.SS,赤天化
600229.SS,城市传媒
600230.SS,沧州大化
600231.SS,凌钢股份
600232.SS,金鹰股份
600233.SS,圆通速递
600234.SS,科新发展
600235.SS,民丰特纸
600236.SS,桂冠电力
600237.SS,铜峰电子
600239.SS,云南城投
600241.SS,时代万恒
600246.SS,万通发展
600248.SS,陕建股份
600249.SS,两面针
600250.SS,南京商旅
600251.SS,冠农股份
600252.SS,中恒集团
600255.SS,鑫科材料
600256.SS,广汇能源
600257.SS,大湖股份
600258.SS,首旅酒店
600259.SS,广晟有色
600261.SS,阳光照明
600262.SS,北方股份
600266.SS,城建发展
600267.SS,海正药业
600268.SS,国电南自
600269.SS,赣粤高速
600271.SS,航天信息
600272.SS,开开实业
600273.SS,嘉化能源
600276.SS,恒瑞医药
600278.SS,东方创业
600279.SS,重庆港
600280.SS,中央商场
600281.SS,华阳新材
600282.SS,南钢股份
600283.SS,钱江水利
600284.SS,浦东建设
600285.SS,羚锐制药
600287.SS,苏豪时尚
600288.SS,大恒科技
600292.SS,远达环保
600293.SS,三峡新材
600295.SS,鄂尔多斯
600298.SS,安琪酵母
600299.SS,安迪苏
600300.SS,维维股份
600301.SS,华锡有色
600302.SS,标准股份
600303.SS,曙光股份
600305.SS,恒顺醋业
600307.SS,酒钢宏兴
600308.SS,华泰股份
600309.SS,万华化学
600310.SS,广西能源
600312.SS,平高电气
600313.SS,农发种业
600315.SS,上海家化
600316.SS,洪都航空
600318.SS,新力金融
600319.SS,亚星化学
600320.SS,振华重工
600322.SS,津投城开
600323.SS,瀚蓝环境
600325.SS,华发股份
600326.SS,西藏天路
600327.SS,大东方
600328.SS,中盐化工
600329.SS,达仁堂
600330.SS,天通股份
600331.SS,宏达股份
600332.SS,白云山
600333.SS,长春燃气
600335.SS,国机汽车
600336.SS,澳柯玛
600337.SS,美克家居
600338.SS,西藏珠峰
600339.SS,中油工程
600340.SS,华夏幸福
600343.SS,航天动力
600345.SS,长江通信
600346.SS,恒力石化
600348.SS,华阳股份
600350.SS,山东高速
600351.SS,亚宝药业
600352.SS,浙江龙盛
600353.SS,旭光电子
600354.SS,敦煌种业
600356.SS,恒丰纸业
600359.SS,新农开发
600361.SS,创新新材
600362.SS,江西铜业
600363.SS,联创光电
600366.SS,宁波韵升
600367.SS,红星发展
600368.SS,五洲交通
600369.SS,西南证券
600370.SS,三房巷
600371.SS,万向德农
600372.SS,中航机载
600373.SS,中文传媒
600375.SS,汉马科技
600376.SS,首开股份
600377.SS,宁沪高速
600378.SS,昊华科技
600379.SS,宝光股份
600380.SS,健康元
600382.SS,广东明珠
600383.SS,金地集团
600386.SS,北巴传媒
600388.SS,龙净环保
600389.SS,江山股份
600390.SS,五矿资本
600391.SS,航发科技
600392.SS,盛和资源
600395.SS,盘江股份
600396.SS,华电辽能
600397.SS,江钨装备
600398.SS,海澜之家
600399.SS,抚顺特钢
