Symbol,Name
A2A.MI,A2A
AMP.MI,Amplifon
AVIO.MI,Avio
AZM.MI,Azimut
BMED.MI,Banca Mediolanum
BMPS.MI,Banca Monte dei Paschi di Siena
BAMI.MI,Banco BPM
BPE.MI,BPER Banca
BC.MI,Brunello Cucinelli
BZU.MI,Buzzi
CPR.MI,Campari
DIA.MI,Diasorin
ENEL.MI,Enel
ENI.MI,Eni
RACE.MI,Ferrari
FCT.MI,Fincantieri
FBK.MI,FinecoBank
G.MI,Generali
HER.MI,Hera
ISP.MI,Intesa Sanpaolo
INW.MI,INWIT
IG.MI,Italgas
IVG.MI,Iveco
LDO.MI,Leonardo
LTMC.MI,Lottomatica Group
MB.MI,Mediobanca
MONC.MI,Moncler
NEXI.MI,Nexi
PST.MI,Poste italiane
PRY.MI,Prysmian
REC.MI,Recordati
SPM.MI,Saipem
SRG.MI,Snam
STLAM.MI,Stellantis
STMMI.MI,STMicroelectronics
TIT.MI,Telecom Italia
TEN.MI,Tenaris
TRN.MI,Terna
UCG.MI,UniCredit
UNI.MI,Unipol
